id,url,operation,state,location_id,ubication__latitude,ubication__longitude,ubication__hasHiddenAddress,ubication__administrativeAreaLevel1,ubication__administrativeAreaLevel2,ubication__administrativeAreaLevel3,ubication__administrativeAreaLevel4,commercialDataId,price raw,house type,extendedPropertyType,constructedArea,usableArea,plotOfLand,roomNumber,bathNumber,isInTopFloor,isDuplex,flatLocation,isStudio,agencyIsABank,isPenthouse,energyCertificationType,energyPerformance,status,lift,isAuction,boxroom,swimmingPool,chimney,garden,communityCosts,heaterType1,heaterType2,construction year,manyFloors,orientation,terrace,has garage,garage price,floorNumber,air conditioning
96096624,https://www.idealista.com/inmueble/96096624/,sale,inactive,0-EU-ES-14-03-001-021-03-003,37.8936078,-4.7718263,True,Córdoba,Córdoba,Santa Rosa - Valdeolleros,Valdeolleros - Zumbacón - Camping,130029651,265000,chalet,independantHouse,150,,0,3,3,False,False,,False,False,False,inProcess,,good,False,False,True,,,,,,,,,,,True,,,True
96098979,https://www.idealista.com/inmueble/96098979/,sale,inactive,0-EU-ES-14-03-001-021-05-001,37.8865132,-4.7603522,True,Córdoba,Córdoba,Fuensanta - Zona Arcángel,Fuensanta - Arcángel - Santuario,260401155,90000,flat,,95,,,3,1,False,False,external,False,False,False,e,,good,True,False,,,,,60,individual,,,,,,,,Planta 3ª,True
96101519,https://www.idealista.com/inmueble/96101519/,sale,inactive,0-EU-ES-14-03-001-021-07-001,37.8813228,-4.790872,True,Córdoba,Córdoba,Ciudad Jardín,Ciudad Jardín,260367045,143000,flat,,99,,,4,1,False,False,external,False,False,False,inProcess,,good,True,False,,,,,,individual,,,,,True,,,Planta 4ª,True
96102051,https://www.idealista.com/inmueble/96102051/,sale,inactive,0-EU-ES-14-03-001-021-01-001,37.8786355,-4.7815395,True,Córdoba,Córdoba,Centro - Casco Histórico,Judería - San Basilio,130037580,480000,flat,penthouse,217,174,,5,4,True,False,external,False,False,True,inProcess,,renew,True,False,True,,,,,,,,,,True,,,Planta 4ª,True
96102660,https://www.idealista.com/inmueble/96102660/,sale,inactive,0-EU-ES-14-03-001-021-03-001,37.8943589,-4.7827529,False,Córdoba,Córdoba,Santa Rosa - Valdeolleros,Santa Rosa - San José,,86000,flat,,90,85,,3,1,False,False,external,False,False,False,b,,renew,False,False,False,False,,True,50,,,,,este,True,,,Planta 1ª,
96103499,https://www.idealista.com/inmueble/96103499/,sale,inactive,0-EU-ES-14-03-001-021-01-006,37.89126,-4.781819,True,Córdoba,Córdoba,Centro - Casco Histórico,El Vial - Ronda de Tejares,130163930,379000,flat,,220,185,,4,3,False,False,external,False,False,False,inProcess,,good,True,False,True,False,,False,250,central,,,,,True,True,,Planta 7ª,True
96103783,https://www.idealista.com/inmueble/96103783/,sale,inactive,0-EU-ES-14-03-001-021-01-006,37.8896274,-4.7830084,True,Córdoba,Córdoba,Centro - Casco Histórico,El Vial - Ronda de Tejares,130173222,379000,flat,,220,185,,4,3,False,False,external,False,False,False,inProcess,,good,True,False,True,False,,False,250,central,,,,,True,True,,Planta 7ª,True
96104028,https://www.idealista.com/inmueble/96104028/,sale,inactive,0-EU-ES-14-03-001-021-03-001,37.8952307,-4.7801905,True,Córdoba,Córdoba,Santa Rosa - Valdeolleros,Santa Rosa - San José,260369306,270000,flat,,111,86,,3,2,False,False,external,False,False,False,g,,good,True,False,False,False,,False,,central,,,,,True,True,,Planta 4ª,True
96109706,https://www.idealista.com/inmueble/96109706/,sale,inactive,0-EU-ES-14-03-001-021-01-004,37.8884457,-4.7730331,True,Córdoba,Córdoba,Centro - Casco Histórico,Casco Histórico - Ollerías - Marrubial,130176443,193000,flat,,99,,,3,2,False,False,external,False,False,False,d,,good,False,False,True,,,,,,,,,,,True,,Planta 1ª,True
96114593,https://www.idealista.com/inmueble/96114593/,sale,inactive,0-EU-ES-14-03-001-021-05-001,37.8862,-4.75839,False,Córdoba,Córdoba,Fuensanta - Zona Arcángel,Fuensanta - Arcángel - Santuario,,90000,flat,,88,,,3,2,False,False,external,False,False,False,unknown,,good,False,False,False,False,,False,,,,,,,,,,Planta 3ª,
