id,url,operation,state,location_id,ubication__latitude,ubication__longitude,ubication__hasHiddenAddress,ubication__administrativeAreaLevel1,ubication__administrativeAreaLevel2,ubication__administrativeAreaLevel3,ubication__administrativeAreaLevel4,commercialDataId,price raw,house type,extendedPropertyType,constructedArea,usableArea,plotOfLand,roomNumber,bathNumber,isInTopFloor,isDuplex,flatLocation,isStudio,agencyIsABank,isPenthouse,energyCertificationType,energyPerformance,status,lift,isAuction,boxroom,swimmingPool,chimney,garden,communityCosts,heaterType1,heaterType2,construction year,manyFloors,orientation,terrace,has garage,garage price,floorNumber,air conditioning
111246175,https://www.idealista.com/inmueble/111246175/,sale,Córdoba,Córdoba,37.8869856,-4.7551793,True,,,Fuensanta - Zona Arcángel,Cañero - Fidiana,,,,independantHouse,104.0,,,4,2,,False,,False,,,,,good,,,,,,,,,,,,,,False,,,
110430848,https://www.idealista.com/inmueble/110430848/,sale,Córdoba,Córdoba,37.8922366,-4.7751144,True,,,Centro - Casco Histórico,Casco Histórico - Ollerías - Marrubial,,,,independantHouse,235.0,,,7,3,,False,,False,,,,,good,,,,,,,,,,,,,,False,,,
104081567,https://www.idealista.com/inmueble/104081567/,sale,Córdoba,Córdoba,37.8808119,-4.780773,True,,,Centro - Casco Histórico,Judería - San Basilio,,,,flat,166.0,,,5,2,,False,,False,,,,,renew,False,,,,,,,,,,,,,False,,1,
107301451,https://www.idealista.com/inmueble/107301451/,sale,Córdoba,Córdoba,37.8827969,-4.7721339,True,,,Centro - Casco Histórico,Casco Histórico - Corredera - Ribera,,,,duplex,55.0,,,1,1,,True,,False,,,,,good,False,,,,,,,,,,,,,False,,1,
103275435,https://www.idealista.com/inmueble/103275435/,sale,Córdoba,Córdoba,37.8917324,-4.7718967,True,,,Centro - Casco Histórico,Casco Histórico - Ollerías - Marrubial,,,,terracedHouse,301.0,,,7,4,,False,,False,,,,,good,,,,,,,,,,,,,,True,,,
109151176,https://www.idealista.com/inmueble/109151176/,sale,Córdoba,Córdoba,37.8921809,-4.7686328,True,,,Centro - Casco Histórico,Casco Histórico - Ollerías - Marrubial,,,,independantHouse,520.0,,,9,1,,False,,False,,,,,renew,,,,,,,,,,,,,,True,,,
103229025,https://www.idealista.com/inmueble/103229025/,sale,Córdoba,Córdoba,37.8985142,-4.7506825,True,,,Levante - Lepanto - Fátima,Fátima - Campiñuela,,,,independantHouse,453.0,,,6,5,,False,,False,,,,,good,,,,,,,,,,,,,,True,,,
111339406,https://www.idealista.com/inmueble/111339406/,sale,Córdoba,Córdoba,37.8907048,-4.7878311,True,,,Noreña - Figueroa,Carretera Trassierra - Colonia de la Paz,,,,flat,50.0,,,1,1,,False,,False,,,,,good,True,,,,,,,,,,,,,False,,bj,
108460948,https://www.idealista.com/inmueble/108460948/,sale,Córdoba,Córdoba,37.8968961,-4.7776848,True,,,Santa Rosa - Valdeolleros,Valdeolleros - Zumbacón - Camping,,,,flat,92.0,,,3,1,,False,,False,,,,,good,False,,,,,,,,,,,,,False,,2,
109864936,https://www.idealista.com/inmueble/109864936/,sale,Córdoba,Córdoba,37.8907724,-4.762062,True,,,Levante - Lepanto - Fátima,La Viñuela,,,,flat,87.0,,,2,1,,False,,False,,,,,good,False,,,,,,,,,,,,,False,,2,
